"name","slug","sources","category","ecosystems","signal_trace"
"Nuclear Illusion","nuclear-illusion","footbagmoves","D","blurry-furious","doctrine_tokens=nuclear"
"Nuclear Legover","nuclear-legover","footbagmoves","D","blurry-furious","doctrine_tokens=nuclear"
"Nuclear Pickup","nuclear-pickup","footbagmoves","D","blurry-furious","doctrine_tokens=nuclear"
"Weaving Butterfly","weaving-butterfly","footbagmoves","D","weaving","doctrine_tokens=weaving"
"Weaving Clipper","weaving-clipper","footbagmoves","D","weaving","doctrine_tokens=weaving"
"Weaving Legover","weaving-legover","footbagmoves","D","weaving","doctrine_tokens=weaving"
"Weaving Magellan","weaving-magellan","passback","D","weaving","doctrine_tokens=weaving"
"Weaving Osis","weaving-osis","footbagmoves","D","weaving","doctrine_tokens=weaving"
"Weaving Pickup","weaving-pickup","footbagmoves","D","weaving","doctrine_tokens=weaving"
"Weaving Pigbeater","weaving-pigbeater","passback","D","weaving","doctrine_tokens=weaving"
"Weaving Whirl","weaving-whirl","footbagmoves","D","whirl-swirl|weaving","doctrine_tokens=weaving"
"Blurry Barrage","blurry-barrage","footbagmoves","D","blurry-furious","doctrine_tokens=blurry"
"Blurry Blender","blurry-blender","footbagmoves","D","blender-torque|blurry-furious","doctrine_tokens=blurry"
"Blurry Double Legover","blurry-double-legover","footbagmoves","D","blurry-furious","doctrine_tokens=blurry"
"Blurry Ducking Eggbeater","blurry-ducking-eggbeater","footbagmoves","D","ducking|blurry-furious","doctrine_tokens=blurry"
"Blurry Ducking Mirage","blurry-ducking-mirage","footbagmoves","D","ducking|blurry-furious","doctrine_tokens=blurry"
"Blurry Ducking Torque","blurry-ducking-torque","footbagmoves","D","ducking|blender-torque|blurry-furious","doctrine_tokens=blurry"
"Blurry Eggbeater","blurry-eggbeater","footbagmoves","D","blurry-furious","doctrine_tokens=blurry"
"Blurry Illusion","blurry-illusion","footbagmoves","D","blurry-furious","doctrine_tokens=blurry"
"Blurry Illusioning Paradox Symposium Eggbeater","blurry-illusioning-paradox-symposium-eggbeater","footbagmoves","D","symposium|blurry-furious|paradox","doctrine_tokens=blurry|illusioning"
"Blurry Mirage","blurry-mirage","footbagmoves","D","blurry-furious","doctrine_tokens=blurry"
"Blurry Symposium Whirling XBD Rake","blurry-symposium-whirling-xbd-rake","footbagmoves","D","symposium|whirl-swirl|blurry-furious|dragon-rake","doctrine_tokens=blurry"
"Blurry Zulu Blender","blurry-zulu-blender","footbagmoves","D","blender-torque|blurry-furious","doctrine_tokens=blurry"
"Furious Double Legover","furious-double-legover","footbagmoves","D","blurry-furious","doctrine_tokens=furious"
"Furious Eggbeater","furious-eggbeater","footbagmoves","D","blurry-furious","doctrine_tokens=furious"
"Furious Illusion","furious-illusion","footbagmoves","D","blurry-furious","doctrine_tokens=furious"
"Furious Mirage","furious-mirage","footbagmoves","D","blurry-furious","doctrine_tokens=furious"
"Furious Symposium Mirage","furious-symposium-mirage","footbagmoves","D","symposium|blurry-furious","doctrine_tokens=furious"
"Furious Whirl","furious-whirl","footbagmoves","D","whirl-swirl|blurry-furious","doctrine_tokens=furious"
"Illusioning Legover","illusioning-legover","footbagmoves|passback","D","","doctrine_tokens=illusioning"
"Nuclear Butterfly","nuclear-butterfly","footbagmoves","D","blurry-furious","doctrine_tokens=nuclear"
"Nuclear Double Legover","nuclear-double-legover","footbagmoves","D","blurry-furious","doctrine_tokens=nuclear"
"Nuclear Double Over Down","nuclear-double-over-down","footbagmoves","D","dlo-double-down|blurry-furious","doctrine_tokens=nuclear"
"Nuclear Drifter","nuclear-drifter","footbagmoves","D","blurry-furious","doctrine_tokens=nuclear"
"Nuclear Ducking Mirage","nuclear-ducking-mirage","footbagmoves","D","ducking|blurry-furious","doctrine_tokens=nuclear"
"Nuclear Illusion (same side)","nuclear-illusion-same-side","footbagmoves","D","blurry-furious","doctrine_tokens=nuclear"
"Nuclear Legover (same side)","nuclear-legover-same-side","footbagmoves","D","blurry-furious","doctrine_tokens=nuclear"
