"name","slug","sources","category","ecosystems","signal_trace"
"Paradox Symposium Whirling Rake","paradox-symposium-whirling-rake","footbagmoves","C","symposium|whirl-swirl|dragon-rake|paradox","stack_depth=3;modifiers=paradox|symposium|whirling"
"Pixie Double Pickup (ss)","pixie-double-pickup","passback","C","pixie","paren_kind=directional-qualifier;stack_depth=3;modifiers=pixie;directionals=double|ss"
"Spinning Symposium Down Double Down","spinning-symposium-down-double-down","fborg","C","symposium|spinning|dlo-double-down","stack_depth=3;modifiers=spinning|symposium;directionals=double"
"Stepping Ducking Far Double Pickup","stepping-ducking-far-double-pickup","footbagmoves","C","ducking|stepping","stack_depth=4;modifiers=ducking|stepping;directionals=double|far"
"Stepping Ducking Paradox Blender","stepping-ducking-paradox-blender","fborg","C","ducking|stepping|blender-torque|paradox","stack_depth=3;modifiers=ducking|paradox|stepping"
"Surging Ducking Paradox Torque","surging-ducking-paradox-torque","footbagmoves","C","ducking|blender-torque|paradox","stack_depth=3;modifiers=ducking|paradox|surging"
"Atomic Ducking Double Legover","atomic-ducking-double-legover","footbagmoves","C","ducking|atomic","stack_depth=3;modifiers=atomic|ducking;directionals=double"
"Atomic os Symposium Double Over Down","atomic-os-symposium-double-over-down","footbagmoves","C","symposium|atomic|dlo-double-down","stack_depth=3;modifiers=atomic|symposium;directionals=double"
"Barraging ss Double Double Down","barraging-ss-double-double-down","footbagmoves","C","dlo-double-down","stack_depth=3;modifiers=barraging;directionals=double|ss"
"Clipper set ss Symposium Double Over Down","clipper-set-ss-symposium-double-over-down","footbagmoves","C","symposium|dlo-double-down","stack_depth=3;modifiers=symposium;directionals=double|ss"
"Ducking Paradox Symposium Whirl","ducking-paradox-symposium-whirl","footbagmoves","C","ducking|symposium|whirl-swirl|paradox","stack_depth=3;modifiers=ducking|paradox|symposium"
"Fairy Spinning Double Over Down","fairy-spinning-double-over-down","footbagmoves","C","fairy|spinning|dlo-double-down","stack_depth=3;modifiers=fairy|spinning;directionals=double"
"Fairy Spyro Symposium Torque","fairy-spyro-symposium-torque","footbagmoves","C","fairy|symposium|gyro-spyro|blender-torque","stack_depth=3;modifiers=fairy|spyro|symposium"
