"name","slug","sources","category","ecosystems","signal_trace"
"84 / Wiggle Walk","84-wiggle-walk","footbagmoves","B","","match=slash-alt-pair"
"Aeon Flux / Nucleosis","aeon-flux-nucleosis","footbagmoves","B","","match=slash-alt-pair"
"Barrage (toe set)","barrage-toe-set","footbagmoves","B","","match=folk-name-with-parenthetical-reading"
"Big Apple Sauce / Chilly Pilly Sauce","big-apple-sauce-chilly-pilly-sauce","footbagmoves","B","","match=slash-alt-pair"
"Drifter (same-side)","drifter-same-side","footbagmoves","B","","match=folk-name-with-parenthetical-reading"
"Ego / Tamboura","ego-tamboura","footbagmoves","B","","match=slash-alt-pair"
"Ferocious / Flow","ferocious-flow","footbagmoves","B","","match=slash-alt-pair"
"Flaming Tard / Wet Dream","flaming-tard-wet-dream","footbagmoves","B","","match=slash-alt-pair"
"Flurry (toe set)","flurry-toe-set","footbagmoves","B","","match=folk-name-with-parenthetical-reading"
"Guillotine / Cower","guillotine-cower","footbagmoves","B","","match=slash-alt-pair"
"High Plains Drifter / Barrifter","high-plains-drifter-barrifter","footbagmoves","B","","match=slash-alt-pair"
"Johny Quest / Neutron Smasher","johny-quest-neutron-smasher","footbagmoves","B","","match=slash-alt-pair"
"Leviathan / Christina Aguilera","leviathan-christina-aguilera","footbagmoves","B","","match=slash-alt-pair"
"Lotus / Void","lotus-void","footbagmoves","B","","match=slash-alt-pair"
"Neutron Smasher / Johny Quest","neutron-smasher-johny-quest","footbagmoves","B","","match=slash-alt-pair"
"Rasmus / Skullsmasher","rasmus-skullsmasher","footbagmoves","B","","match=slash-alt-pair"
"Sasquatch / Warlock","sasquatch-warlock","footbagmoves","B","","match=slash-alt-pair"
"Superduperfly / Poisonous Toe","superduperfly-poisonous-toe","footbagmoves","B","","match=slash-alt-pair"
"Arctic (frigidosis Pixie)","arctic-frigidosis-pixie","fborg","B","pixie","match=folk-name-with-parenthetical-reading"
"Atom Smasher (Atomic Mirage)","atom-smasher-atomic-mirage","fborg","B","atomic","match=folk-name-with-parenthetical-reading"
"Atomic (Toe set Illusion)","atomic-toe-set-illusion","fborg","B","atomic","match=folk-name-with-parenthetical-reading"
"Avalanche (Stepping Ducking Paradox Illusion)","avalanche-stepping-ducking-paradox-illusion","fborg","B","ducking|stepping|paradox","match=folk-name-with-parenthetical-reading"
"Backside Symposium Smear (Pixie Symposium Mirage)","backside-symposium-smear-pixie-symposium-mirage","fborg","B","pixie|symposium","match=folk-name-with-parenthetical-reading"
"Backside Symposium Toe Blizzard (Quantum Symposium Illusion)","backside-symposium-toe-blizzard-quantum-symposium-illusion","fborg","B","symposium|quantum","match=folk-name-with-parenthetical-reading"
"Backside Symposium Toe Blur (Quantum Symposium Mirage)","backside-symposium-toe-blur-quantum-symposium-mirage","fborg","B","symposium|quantum","match=folk-name-with-parenthetical-reading"
"Barraging (High Stepping)","barraging-high-stepping","fborg","B","stepping","match=folk-name-with-parenthetical-reading"
"Bedwetter (Stepping Paradox Eggbeater)","bedwetter-stepping-paradox-eggbeater","fborg","B","stepping|paradox","match=folk-name-with-parenthetical-reading"
