"name","slug","sources","category","ecosystems","signal_trace"
"Rail Warrior","rail-warrior","footbagmoves","A","rail-rooted","stack_depth=0"
"Raildown","raildown","footbagmoves","A","rail-rooted","stack_depth=0"
"Railplant","railplant","footbagmoves","A","rail-rooted","stack_depth=0"
"Railwalk","railwalk","footbagmoves","A","rail-rooted","stack_depth=0"
"Railing Butterfly","railing-butterfly","footbagmoves","A","rail-rooted","stack_depth=0"
"Railing Ducking Butterfly","railing-ducking-butterfly","footbagmoves","A","ducking|rail-rooted","modifiers=ducking;stack_depth=1"
"Railing Ducking Legover","railing-ducking-legover","footbagmoves","A","ducking|rail-rooted","modifiers=ducking;stack_depth=1"
"Railing Ducking Mirage","railing-ducking-mirage","footbagmoves","A","ducking|rail-rooted","modifiers=ducking;stack_depth=1"
"Railing Illusion","railing-illusion","footbagmoves","A","rail-rooted","stack_depth=0"
"Railing Legover","railing-legover","footbagmoves","A","rail-rooted","stack_depth=0"
"Railing Mirage","railing-mirage","footbagmoves","A","rail-rooted","stack_depth=0"
"Railing ss Butterfly","railing-ss-butterfly","footbagmoves","A","rail-rooted","stack_depth=1"
"Railing ss Double Legover","railing-ss-double-legover","footbagmoves","A","rail-rooted","stack_depth=2"
"Railing Symposium Mirage","railing-symposium-mirage","footbagmoves","A","symposium|rail-rooted","modifiers=symposium;stack_depth=1"
"Rooting/Rooted","rooting-rooted","fborg","D","rail-rooted","doctrine_tokens=rooted"
