"name","slug","sources","category","ecosystems","signal_trace"
"Paradox Barrage","paradox-barrage","fborg","A","paradox","modifiers=paradox;stack_depth=1"
"Paradox Blizzard","paradox-blizzard","fborg","A","paradox","modifiers=paradox;stack_depth=1"
"Paradox Double Leg Over","paradox-double-leg-over","fborg","A","paradox","modifiers=paradox;stack_depth=2"
"Paradox High Plains Drifter","paradox-high-plains-drifter","fborg","A","paradox","modifiers=paradox;stack_depth=1"
"Paradox Illusion","paradox-illusion","fborg","A","paradox","modifiers=paradox;stack_depth=1"
"Paradox Ripwalk","paradox-ripwalk","fborg","A","paradox","modifiers=paradox;stack_depth=1"
"Paradox Symposium Mirage","paradox-symposium-mirage","fborg","A","symposium|paradox","modifiers=paradox|symposium;stack_depth=2"
"Paradox Symposium Whirling Rake","paradox-symposium-whirling-rake","footbagmoves","C","symposium|whirl-swirl|dragon-rake|paradox","stack_depth=3;modifiers=paradox|symposium|whirling"
"Paradox Whirling Rake","paradox-whirling-rake","footbagmoves","A","whirl-swirl|dragon-rake|paradox","modifiers=paradox|whirling;stack_depth=2"
"Spinning Paradox Blender","spinning-paradox-blender","fborg","A","spinning|blender-torque|paradox","modifiers=paradox|spinning;stack_depth=2"
"Spinning Paradox Illusion","spinning-paradox-illusion","fborg","A","spinning|paradox","modifiers=paradox|spinning;stack_depth=2"
"Spinning Paradox Mirage","spinning-paradox-mirage","fborg","A","spinning|paradox","modifiers=paradox|spinning;stack_depth=2"
"Spinning Paradox Whirl","spinning-paradox-whirl","fborg","A","spinning|whirl-swirl|paradox","modifiers=paradox|spinning;stack_depth=2"
"Stepping Ducking Paradox Blender","stepping-ducking-paradox-blender","fborg","C","ducking|stepping|blender-torque|paradox","stack_depth=3;modifiers=ducking|paradox|stepping"
"Surging Ducking Paradox Torque","surging-ducking-paradox-torque","footbagmoves","C","ducking|blender-torque|paradox","stack_depth=3;modifiers=ducking|paradox|surging"
"Blazing Paradox Whirl","blazing-paradox-whirl","footbagmoves","A","whirl-swirl|paradox","modifiers=paradox;stack_depth=1"
"Blurry Illusioning Paradox Symposium Eggbeater","blurry-illusioning-paradox-symposium-eggbeater","footbagmoves","D","symposium|blurry-furious|paradox","doctrine_tokens=blurry|illusioning"
"Bubba Paradox Flail","bubba-paradox-flail","footbagmoves","A","paradox","modifiers=paradox;stack_depth=1"
"Bubba Paradox Symposium Eggbeater","bubba-paradox-symposium-eggbeater","footbagmoves","A","symposium|paradox","modifiers=paradox|symposium;stack_depth=2"
"Ducking Paradox Blender","ducking-paradox-blender","footbagmoves","A","ducking|blender-torque|paradox","modifiers=ducking|paradox;stack_depth=2"
"Ducking Paradox Drifter","ducking-paradox-drifter","footbagmoves","A","ducking|paradox","modifiers=ducking|paradox;stack_depth=2"
"Ducking Paradox Symposium Whirl","ducking-paradox-symposium-whirl","footbagmoves","C","ducking|symposium|whirl-swirl|paradox","stack_depth=3;modifiers=ducking|paradox|symposium"
"Ducking Paradox Whirl","ducking-paradox-whirl","footbagmoves","A","ducking|whirl-swirl|paradox","modifiers=ducking|paradox;stack_depth=2"
"Paradox Drifter XBD Rake","paradox-drifter-xbd-rake","footbagmoves","A","dragon-rake|paradox","modifiers=paradox;stack_depth=1"
"Paradox Grifter","paradox-grifter","footbagmoves","A","paradox","modifiers=paradox;stack_depth=1"
"Paradox Merlin","paradox-merlin","footbagmoves","A","paradox","modifiers=paradox;stack_depth=1"
"Paradox Symposium Eggbeater","paradox-symposium-eggbeater","footbagmoves","A","symposium|paradox","modifiers=paradox|symposium;stack_depth=2"
"Paradox Toxic","paradox-toxic","footbagmoves","A","paradox","modifiers=paradox;stack_depth=1"
"Pixie Spinning Paradox Blender","pixie-spinning-paradox-blender","footbagmoves","C","pixie|spinning|blender-torque|paradox","stack_depth=3;modifiers=paradox|pixie|spinning"
"Pixie Spinning Paradox Symposium Whirl","pixie-spinning-paradox-symposium-whirl","footbagmoves","C","pixie|symposium|spinning|whirl-swirl|paradox","stack_depth=4;modifiers=paradox|pixie|spinning|symposium"
"Pixie Spinning Paradox Whirl","pixie-spinning-paradox-whirl","footbagmoves","C","pixie|spinning|whirl-swirl|paradox","stack_depth=3;modifiers=paradox|pixie|spinning"
"Spinning Ducking Paradox Blender","spinning-ducking-paradox-blender","footbagmoves","C","ducking|spinning|blender-torque|paradox","stack_depth=3;modifiers=ducking|paradox|spinning"
