"name","slug","sources","category","ecosystems","signal_trace"
"Ducking Barfly","ducking-barfly","fborg","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking Illusion","ducking-illusion","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking Legover","ducking-legover","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking Pdx Illusion","ducking-pdx-illusion","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking Pdx Mirage","ducking-pdx-mirage","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking Pdx Torque","ducking-pdx-torque","passback","A","ducking|blender-torque","modifiers=ducking;stack_depth=1"
"Ducking Pickup","ducking-pickup","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking PS Illusion","ducking-ps-illusion","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking PS Mirage","ducking-ps-mirage","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
"Fairy Ducking Butterfly","fairy-ducking-butterfly","footbagmoves","A","ducking|fairy","modifiers=ducking|fairy;stack_depth=2"
"Fairy Ducking Legover","fairy-ducking-legover","footbagmoves","A","ducking|fairy","modifiers=ducking|fairy;stack_depth=2"
"Fairy Ducking Pickup","fairy-ducking-pickup","footbagmoves","A","ducking|fairy","modifiers=ducking|fairy;stack_depth=2"
"Pixie Ducking Legover","pixie-ducking-legover","footbagmoves","A","ducking|pixie","modifiers=ducking|pixie;stack_depth=2"
"Pixie Ducking Pickup","pixie-ducking-pickup","footbagmoves","A","ducking|pixie","modifiers=ducking|pixie;stack_depth=2"
"Spinning Ducking Butterfly","spinning-ducking-butterfly","footbagmoves,passback","A","ducking|spinning","modifiers=ducking|spinning;stack_depth=2"
"Spinning Ducking Clipper","spinning-ducking-clipper","footbagmoves","A","ducking|spinning","modifiers=ducking|spinning;stack_depth=2"
"Spinning Ducking Osis","spinning-ducking-osis","footbagmoves,passback","A","ducking|spinning","modifiers=ducking|spinning;stack_depth=2"
"Spinning Ducking Pdx Mirage","spinning-ducking-pdx-mirage","footbagmoves","A","ducking|spinning","modifiers=ducking|spinning;stack_depth=2"
"Stepping Ducking Butterfly (same side)","stepping-ducking-butterfly","footbagmoves","A","ducking|stepping","paren_kind=directional-qualifier;modifiers=ducking|stepping;stack_depth=2"
"Stepping Ducking DLO","stepping-ducking-dlo","footbagmoves","A","ducking|stepping|dlo-double-down","modifiers=ducking|stepping;stack_depth=2"
"Stepping Ducking Far Double Pickup","stepping-ducking-far-double-pickup","footbagmoves","C","ducking|stepping","stack_depth=4;modifiers=ducking|stepping;directionals=double|far"
"Stepping Ducking Mirage","stepping-ducking-mirage","fborg","A","ducking|stepping","modifiers=ducking|stepping;stack_depth=2"
"Stepping Ducking Osis","stepping-ducking-osis","passback","A","ducking|stepping","modifiers=ducking|stepping;stack_depth=2"
"Stepping Ducking Paradox Blender","stepping-ducking-paradox-blender","fborg","C","ducking|stepping|blender-torque|paradox","stack_depth=3;modifiers=ducking|paradox|stepping"
"Stepping Ducking PS Whirl","stepping-ducking-ps-whirl","footbagmoves","A","ducking|stepping|whirl-swirl","modifiers=ducking|stepping;stack_depth=2"
"Surging Ducking Paradox Torque","surging-ducking-paradox-torque","footbagmoves","C","ducking|blender-torque|paradox","stack_depth=3;modifiers=ducking|paradox|surging"
"Toe Ducking Legover","toe-ducking-legover","passback","A","ducking","modifiers=ducking;stack_depth=1"
"Atomic Ducking Blender","atomic-ducking-blender","footbagmoves|passback","A","ducking|atomic|blender-torque","modifiers=atomic|ducking;stack_depth=2"
"Atomic Ducking Double Legover","atomic-ducking-double-legover","footbagmoves","C","ducking|atomic","stack_depth=3;modifiers=atomic|ducking;directionals=double"
"Atomic Ducking Mirage","atomic-ducking-mirage","footbagmoves","A","ducking|atomic","modifiers=atomic|ducking;stack_depth=2"
"Atomic Ducking Torque","atomic-ducking-torque","footbagmoves","A","ducking|atomic|blender-torque","modifiers=atomic|ducking;stack_depth=2"
"Atomic Ducking Whirl","atomic-ducking-whirl","footbagmoves","A","ducking|atomic|whirl-swirl","modifiers=atomic|ducking;stack_depth=2"
"Blurry Ducking Eggbeater","blurry-ducking-eggbeater","footbagmoves","D","ducking|blurry-furious","doctrine_tokens=blurry"
"Blurry Ducking Mirage","blurry-ducking-mirage","footbagmoves","D","ducking|blurry-furious","doctrine_tokens=blurry"
"Blurry Ducking Torque","blurry-ducking-torque","footbagmoves","D","ducking|blender-torque|blurry-furious","doctrine_tokens=blurry"
"Ducking Double Legover","ducking-double-legover","footbagmoves","A","ducking","modifiers=ducking;stack_depth=2"
"Ducking Paradox Blender","ducking-paradox-blender","footbagmoves","A","ducking|blender-torque|paradox","modifiers=ducking|paradox;stack_depth=2"
"Ducking Paradox Drifter","ducking-paradox-drifter","footbagmoves","A","ducking|paradox","modifiers=ducking|paradox;stack_depth=2"
"Ducking Paradox Symposium Whirl","ducking-paradox-symposium-whirl","footbagmoves","C","ducking|symposium|whirl-swirl|paradox","stack_depth=3;modifiers=ducking|paradox|symposium"
"Ducking Paradox Whirl","ducking-paradox-whirl","footbagmoves","A","ducking|whirl-swirl|paradox","modifiers=ducking|paradox;stack_depth=2"
"Fairy Ducking Blender","fairy-ducking-blender","footbagmoves","A","ducking|fairy|blender-torque","modifiers=ducking|fairy;stack_depth=2"
