"name","slug","sources","category","ecosystems","signal_trace"
"Ducking Pdx Torque","ducking-pdx-torque","passback","A","ducking|blender-torque","modifiers=ducking;stack_depth=1"
"Fairy Torque (same side)","fairy-torque","footbagmoves","A","fairy|blender-torque","paren_kind=directional-qualifier;modifiers=fairy;stack_depth=1"
"Gyro Blender","gyro-blender","footbagmoves","A","gyro-spyro|blender-torque","modifiers=gyro;stack_depth=1"
"Pixie Torque","pixie-torque","footbagmoves","A","pixie|blender-torque","modifiers=pixie;stack_depth=1"
"Spinning Paradox Blender","spinning-paradox-blender","fborg","A","spinning|blender-torque|paradox","modifiers=paradox|spinning;stack_depth=2"
"Stepping Blender (same side)","stepping-blender","footbagmoves","A","stepping|blender-torque","paren_kind=directional-qualifier;modifiers=stepping;stack_depth=1"
"Stepping Ducking Paradox Blender","stepping-ducking-paradox-blender","fborg","C","ducking|stepping|blender-torque|paradox","stack_depth=3;modifiers=ducking|paradox|stepping"
"Stepping Pdx Torque","stepping-pdx-torque","footbagmoves","A","stepping|blender-torque","modifiers=stepping;stack_depth=1"
"Surging Ducking Paradox Torque","surging-ducking-paradox-torque","footbagmoves","C","ducking|blender-torque|paradox","stack_depth=3;modifiers=ducking|paradox|surging"
"Symposium Torque","symposium-torque","fborg","A","symposium|blender-torque","modifiers=symposium;stack_depth=1"
"Torquescrew","torquescrew","footbagmoves","A","blender-torque","stack_depth=0"
"Atomic Ducking Blender","atomic-ducking-blender","footbagmoves|passback","A","ducking|atomic|blender-torque","modifiers=atomic|ducking;stack_depth=2"
"Atomic Ducking Torque","atomic-ducking-torque","footbagmoves","A","ducking|atomic|blender-torque","modifiers=atomic|ducking;stack_depth=2"
"Blender (same side)","blender-same-side","footbagmoves","A","blender-torque","paren_kind=directional-qualifier;stack_depth=0"
"Blurry Blender","blurry-blender","footbagmoves","D","blender-torque|blurry-furious","doctrine_tokens=blurry"
"Blurry Ducking Torque","blurry-ducking-torque","footbagmoves","D","ducking|blender-torque|blurry-furious","doctrine_tokens=blurry"
"Blurry Zulu Blender","blurry-zulu-blender","footbagmoves","D","blender-torque|blurry-furious","doctrine_tokens=blurry"
"Double Torque","double-torque","footbagmoves","A","blender-torque","stack_depth=1"
"Ducking Paradox Blender","ducking-paradox-blender","footbagmoves","A","ducking|blender-torque|paradox","modifiers=ducking|paradox;stack_depth=2"
"Fairy Blender","fairy-blender","footbagmoves","A","fairy|blender-torque","modifiers=fairy;stack_depth=1"
"Fairy Ducking Blender","fairy-ducking-blender","footbagmoves","A","ducking|fairy|blender-torque","modifiers=ducking|fairy;stack_depth=2"
"Fairy Ducking Torque","fairy-ducking-torque","footbagmoves","A","ducking|fairy|blender-torque","modifiers=ducking|fairy;stack_depth=2"
"Fairy Spyro Symposium Torque","fairy-spyro-symposium-torque","footbagmoves","C","fairy|symposium|gyro-spyro|blender-torque","stack_depth=3;modifiers=fairy|spyro|symposium"
"Fairy ss Torque","fairy-ss-torque","footbagmoves","A","fairy|blender-torque","modifiers=fairy;stack_depth=2"
"Fyro Torque","fyro-torque","footbagmoves","A","blender-torque","stack_depth=0"
"Gyro Ducking Symposium Torque","gyro-ducking-symposium-torque","footbagmoves","C","ducking|symposium|gyro-spyro|blender-torque","stack_depth=3;modifiers=ducking|gyro|symposium"
"Gyro Symposium Torque","gyro-symposium-torque","footbagmoves","A","symposium|gyro-spyro|blender-torque","modifiers=gyro|symposium;stack_depth=2"
"Gyro Torque","gyro-torque","footbagmoves|passback","A","gyro-spyro|blender-torque","modifiers=gyro;stack_depth=1"
"Gyro Torquescrew","gyro-torquescrew","footbagmoves|passback","A","gyro-spyro|blender-torque","modifiers=gyro;stack_depth=1"
"Leaning Torque","leaning-torque","footbagmoves","A","blender-torque","stack_depth=0"
"Neutron Torque","neutron-torque","footbagmoves","A","blender-torque","stack_depth=0"
"Pixie Spinning Paradox Blender","pixie-spinning-paradox-blender","footbagmoves","C","pixie|spinning|blender-torque|paradox","stack_depth=3;modifiers=paradox|pixie|spinning"
"Pixie Torque (same side)","pixie-torque-same-side","footbagmoves","A","pixie|blender-torque","paren_kind=directional-qualifier;modifiers=pixie;stack_depth=1"
"Pyro Torque","pyro-torque","footbagmoves","A","blender-torque","stack_depth=0"
"Quantum Blender","quantum-blender","footbagmoves","A","quantum|blender-torque","modifiers=quantum;stack_depth=1"
"Quantum Torque","quantum-torque","footbagmoves","A","quantum|blender-torque","modifiers=quantum;stack_depth=1"
"Reverse Blender","reverse-blender","footbagmoves","A","blender-torque","stack_depth=1"
"Reverse Torque","reverse-torque","footbagmoves","A","blender-torque","stack_depth=1"
"Spinning Ducking Paradox Blender","spinning-ducking-paradox-blender","footbagmoves","C","ducking|spinning|blender-torque|paradox","stack_depth=3;modifiers=ducking|paradox|spinning"
"Spinning Paradox Miraging Symposium Torque","spinning-paradox-miraging-symposium-torque","footbagmoves","C","symposium|spinning|blender-torque|paradox","stack_depth=4;modifiers=miraging|paradox|spinning|symposium"
"Spinning Paradox Torque","spinning-paradox-torque","footbagmoves","A","spinning|blender-torque|paradox","modifiers=paradox|spinning;stack_depth=2"
"Splicing ss Blender","splicing-ss-blender","footbagmoves","A","blender-torque","stack_depth=1"
"Spyro Symposium Torquescrew","spyro-symposium-torquescrew","footbagmoves","A","symposium|gyro-spyro|blender-torque","modifiers=spyro|symposium;stack_depth=2"
"Stepping Torque","stepping-torque","footbagmoves","A","stepping|blender-torque","modifiers=stepping;stack_depth=1"
"Surfing ss Blender","surfing-ss-blender","footbagmoves","A","blender-torque","stack_depth=1"
"Surging Paradox Blender","surging-paradox-blender","footbagmoves","A","blender-torque|paradox","modifiers=paradox|surging;stack_depth=2"
"Tapping Torque","tapping-torque","footbagmoves","A","blender-torque","modifiers=tapping;stack_depth=1"
"Toe set Gyro Torque","toe-set-gyro-torque","footbagmoves","A","gyro-spyro|blender-torque","modifiers=gyro;stack_depth=1"
"Torque (same side)","torque-same-side","footbagmoves","A","blender-torque","paren_kind=directional-qualifier;stack_depth=0"
"Big Apple (Gyro Symposium Torque)","big-apple-gyro-symposium-torque","fborg","B","symposium|gyro-spyro|blender-torque","match=folk-name-with-parenthetical-reading"
"Blurry Torque (Stepping Paradox Torque)","blurry-torque-stepping-paradox-torque","fborg","D","stepping|blender-torque|blurry-furious|paradox","doctrine_tokens=blurry"
"Food Processor (Blurry Blender)","food-processor-blurry-blender","fborg","D","blender-torque|blurry-furious","doctrine_tokens=blurry"
