"name","slug","sources","category","ecosystems","signal_trace"
"Weaving Butterfly","weaving-butterfly","footbagmoves","D","weaving","doctrine_tokens=weaving"
"Weaving Clipper","weaving-clipper","footbagmoves","D","weaving","doctrine_tokens=weaving"
"Weaving Legover","weaving-legover","footbagmoves","D","weaving","doctrine_tokens=weaving"
"Weaving Magellan","weaving-magellan","passback","D","weaving","doctrine_tokens=weaving"
"Weaving Osis","weaving-osis","footbagmoves","D","weaving","doctrine_tokens=weaving"
"Weaving Pickup","weaving-pickup","footbagmoves","D","weaving","doctrine_tokens=weaving"
"Weaving Pigbeater","weaving-pigbeater","passback","D","weaving","doctrine_tokens=weaving"
"Weaving Whirl","weaving-whirl","footbagmoves","D","whirl-swirl|weaving","doctrine_tokens=weaving"
"Quantum Weaving Butterfly","quantum-weaving-butterfly","footbagmoves","D","quantum|weaving","doctrine_tokens=weaving"
"Fairy Weaving Butterfly","fairy-weaving-butterfly","stanford","D","fairy|weaving","doctrine_tokens=weaving"
"Fairy Weaving Clipper","fairy-weaving-clipper","stanford","D","fairy|weaving","doctrine_tokens=weaving"
"Fairy Weaving Mirage","fairy-weaving-mirage","stanford","D","fairy|weaving","doctrine_tokens=weaving"
"Fairy Weaving Osis","fairy-weaving-osis","stanford","D","fairy|weaving","doctrine_tokens=weaving"
"Gyro Weaving Butterfly","gyro-weaving-butterfly","stanford","D","gyro-spyro|weaving","doctrine_tokens=weaving"
"Pixie Weaving Butterfly","pixie-weaving-butterfly","stanford","D","pixie|weaving","doctrine_tokens=weaving"
"Pixie Weaving Mirage","pixie-weaving-mirage","stanford","D","pixie|weaving","doctrine_tokens=weaving"
"Pixie Weaving Osis","pixie-weaving-osis","stanford","D","pixie|weaving","doctrine_tokens=weaving"
"Pixie Weaving Symposium Mirage","pixie-weaving-symposium-mirage","stanford","D","pixie|symposium|weaving","doctrine_tokens=weaving"
"Pixie Weaving Whirl","pixie-weaving-whirl","stanford","D","pixie|whirl-swirl|weaving","doctrine_tokens=weaving"
"Slapping Weaving Butterfly (Quantanamera)","slapping-weaving-butterfly-quantanamera","stanford","D","weaving","doctrine_tokens=weaving"
"Stepping Weaving Butterfly","stepping-weaving-butterfly","stanford","D","stepping|weaving","doctrine_tokens=weaving"
"Stepping Weaving Mirage","stepping-weaving-mirage","stanford","D","stepping|weaving","doctrine_tokens=weaving"
"Tapping Weaving Mirage","tapping-weaving-mirage","stanford","D","weaving","doctrine_tokens=weaving"
"Weaving Drifter","weaving-drifter","stanford","D","weaving","doctrine_tokens=weaving"
"Weaving Eclipse","weaving-eclipse","stanford","D","eclipse-hop-over|weaving","doctrine_tokens=weaving"
"Weaving Guay","weaving-guay","stanford","D","weaving","doctrine_tokens=weaving"
"Weaving Illusion","weaving-illusion","stanford","D","weaving","doctrine_tokens=weaving"
"Weaving Mirage","weaving-mirage","stanford","D","weaving","doctrine_tokens=weaving"
"Weaving Reverse Guay","weaving-reverse-guay","stanford","D","weaving","doctrine_tokens=weaving"
"Weaving Symposium Mirage","weaving-symposium-mirage","stanford","D","symposium|weaving","doctrine_tokens=weaving"
"Weaving Toe Stall","weaving-toe-stall","stanford","D","weaving","doctrine_tokens=weaving"
"Weaving XBD Rake","weaving-xbd-rake","stanford","D","weaving|dragon-rake","doctrine_tokens=weaving"
